bechdel_id,imdb_id,bechdel_rating,title,year,passed,imdb_rating,num_votes,type,runtime_minutes,genres
5523,tt0025424,2,Lost in the Stratosphere,1934,Fail,4.5,113,movie,64,"Action,Adventure,Comedy"
5522,tt0253595,3,"Atlantis Conspiracy, The",2001,Pass,4.2,148,tvMovie,90,Drama
5521,tt0106452,3,Body Snatchers,1993,Pass,6,19242,movie,87,"Horror,Sci-Fi"
5520,tt2499414,3,Best Night Ever,2013,Pass,4,2652,movie,90,Comedy
5519,tt0489007,3,Cow Belles,2006,Pass,5.2,6385,tvMovie,90,"Comedy,Family,Romance"
5518,tt1785612,3,"Punk Singer, The",2013,Pass,7.4,2883,movie,81,"Biography,Documentary,Music"
5517,tt2557490,2,A Million Ways to Die in the West,2014,Fail,6.1,186153,movie,116,"Comedy,Western"
5516,tt2461126,3,"Something, Anything",2014,Pass,6.5,383,movie,88,"Drama,Romance"
5515,tt2095649,3,Grace of Monaco,2014,Pass,5.7,19768,movie,103,"Biography,Drama,Romance"
5514,tt0016039,2,"Lost World, The",1925,Fail,7,5106,movie,110,"Adventure,Fantasy,Sci-Fi"
5513,tt0058708,3,"Unsinkable Molly Brown, The",1964,Pass,6.8,3706,movie,128,"Comedy,Musical,Romance"
5512,tt0065571,3,"Conformist, The",1970,Pass,8,29599,movie,113,Drama
5511,tt0427969,2,Hollywoodland,2006,Fail,6.5,34037,movie,126,"Biography,Crime,Drama"
5510,tt1587310,3,Maleficent,2014,Pass,7,365623,movie,97,"Adventure,Family,Fantasy"
5509,tt0780565,3,Mataharis,2007,Pass,6.6,873,movie,100,"Comedy,Drama"
5508,tt1065073,3,Boyhood,2014,Pass,7.9,348790,movie,165,Drama
5507,tt2364949,3,Touchy Feely,2013,Pass,5.3,3711,movie,88,"Comedy,Drama"
5506,tt1268962,3,Drool,2009,Pass,5.8,802,movie,85,Comedy
5505,tt0047034,1,Gojira,1954,Fail,7.6,32853,movie,96,"Horror,Sci-Fi"
5504,tt0220099,0,"Tigger Movie, The",2000,Fail,6.4,18615,movie,77,"Adventure,Animation,Comedy"
5503,tt0270980,3,My Boss's Daughter,2003,Pass,4.7,29230,movie,86,"Comedy,Romance"
5502,tt1648204,3,Lemonade Mouth,2011,Pass,6.9,17110,tvMovie,103,"Comedy,Drama,Family"
5501,tt0808357,3,"Lust, Caution",2007,Pass,7.5,40720,movie,157,"Drama,History,Romance"
5500,tt0131934,0,Bluebeard,1901,Fail,6.9,1683,short,12,"Horror,Short"
5499,tt1877832,1,X-Men: Days of Future Past,2014,Fail,7.9,691903,movie,132,"Action,Adventure,Sci-Fi"
5498,tt0384573,3,Swimmers,2005,Pass,6.3,439,movie,90,Drama
5497,tt0038409,1,"Chase, The",1946,Fail,6.5,2002,movie,86,"Crime,Film-Noir,Thriller"
5496,tt0463998,1,Freedom Writers,2007,Fail,7.6,76855,movie,123,"Biography,Crime,Drama"
5495,tt1976000,3,"Two Faces of January, The",2014,Pass,6.2,31080,movie,96,"Romance,Thriller"
5494,tt0119336,1,Hurlyburly,1998,Fail,5.9,10126,movie,122,"Comedy,Drama"
5493,tt0115641,1,Beavis and Butt-Head Do America,1996,Fail,6.8,54918,movie,81,"Adventure,Animation,Comedy"
5492,tt0763831,2,A Thousand Words,2012,Fail,5.9,42212,movie,91,"Comedy,Drama"
5491,tt2352488,1,Interior. Leather Bar.,2013,Fail,5.1,2530,movie,60,Drama
5490,tt1767354,3,Odd Thomas,2013,Pass,6.8,51789,movie,100,"Comedy,Fantasy,Horror"
5489,tt1842356,3,Entity,2012,Pass,4.6,2209,movie,87,"Horror,Thriller"
5488,tt2199543,1,Praia do Futuro,2014,Fail,6.4,3052,movie,106,"Drama,Romance"
5487,tt2004420,3,Neighbors,2014,Pass,6.3,303496,movie,97,Comedy
5486,tt2883512,1,Chef,2014,Fail,7.3,210421,movie,114,"Adventure,Comedy,Drama"
5485,tt0055353,3,A Raisin in the Sun,1961,Pass,8,8355,movie,128,Drama
5484,tt0066109,1,"Music Lovers, The",1970,Fail,7.2,2635,movie,123,"Biography,Comedy,Drama"
5483,tt0413300,2,Spider-Man 3,2007,Fail,6.2,564134,movie,139,"Action,Adventure,Sci-Fi"
5482,tt2281587,1,Muppets Most Wanted,2014,Fail,6.4,33914,movie,107,"Adventure,Comedy,Crime"
5481,tt1153103,3,Dead at 17,2008,Pass,4.6,575,tvMovie,90,"Drama,Mystery,Thriller"
5480,tt2429074,3,G.B.F.,2013,Pass,6,10947,movie,92,"Comedy,Drama,Romance"
5479,tt2404153,2,A Halloween Puppy,2012,Fail,2.8,197,tvMovie,80,"Family,Fantasy"
5478,tt2599226,3,An Easter Bunny Puppy,2013,Pass,2.2,175,movie,90,Family
5477,tt1900854,0,Comes a Bright Day,2012,Fail,6.1,1660,movie,91,"Drama,Romance,Thriller"
5475,tt0963794,3,"Ruins, The",2008,Pass,5.9,74119,movie,90,Horror
5474,tt1172570,1,Bronson,2008,Fail,7.1,128114,movie,92,"Action,Biography,Crime"
5473,tt0085334,1,A Christmas Story,1983,Fail,7.9,145757,movie,93,"Comedy,Family"
5472,tt0166896,3,"Straight Story, The",1999,Pass,8,88632,movie,112,"Biography,Drama"
5471,tt0048473,3,Pather Panchali,1955,Pass,8.4,30658,movie,125,Drama
5470,tt0048956,3,Aparajito,1956,Pass,8.3,13559,movie,110,Drama
5469,tt1340664,3,Kenna,2008,Pass,,,movie,86,Thriller
5468,tt3257692,3,Starving in Suburbia,2014,Pass,6.1,1270,movie,84,"Biography,Drama"
5467,tt0090103,3,"Sure Thing, The",1985,Pass,7,20476,movie,100,"Comedy,Drama,Romance"
5466,tt0831387,2,Godzilla,2014,Fail,6.4,404578,movie,123,"Action,Adventure,Sci-Fi"
5465,tt2463288,3,Walk of Shame,2014,Pass,6,53978,movie,95,Comedy
5464,tt2380331,3,Words and Pictures,2013,Pass,6.6,10714,movie,111,"Comedy,Drama,Romance"
5463,tt0451957,3,Urban Legends: Bloody Mary,2005,Pass,4.2,8433,video,93,"Horror,Thriller"
5462,tt1123894,3,And Then Came Lola,2009,Pass,4,1678,movie,71,"Comedy,Drama,Romance"
5461,tt0441007,3,Gracie,2007,Pass,6.2,4176,movie,95,"Biography,Drama,Sport"
5460,tt2170299,2,Bad Words,2013,Fail,6.7,49499,movie,89,"Comedy,Drama"
5459,tt0110632,3,Natural Born Killers,1994,Pass,7.3,228955,movie,118,"Action,Crime,Drama"
5457,tt2017561,2,Xi you xiang mo pian (Journey to the West),2013,Fail,6.8,12523,movie,110,"Action,Adventure,Comedy"
5456,tt2582846,3,"Fault in Our Stars, The",2014,Pass,7.7,365525,movie,126,"Drama,Romance"
5455,tt0421238,1,"Proposition, The",2005,Fail,7.3,52086,movie,104,"Crime,Drama,Western"
5454,tt0179098,3,Moonlight Mile,2002,Pass,6.6,14056,movie,117,"Drama,Romance"
5453,tt2483260,3,"Pirate Fairy, The",2014,Pass,6.6,13052,video,78,"Adventure,Animation,Family"
5452,tt0240890,3,Serendipity,2001,Pass,6.9,111271,movie,90,"Comedy,Romance"
5451,tt0465602,1,Shut em up,2007,Fail,6.6,148944,movie,86,"Action,Comedy,Thriller"
5450,tt3638604,1,Hard Corner: Le Film,2014,Fail,6.2,101,movie,65,Comedy
5449,tt2404181,3,Belle,2014,Pass,7.3,30001,movie,100,"Biography,Drama,Romance"
5448,tt2169322,1,Finding Mr. Right,2013,Fail,6.4,2513,movie,121,"Comedy,Romance"
5447,tt1430612,3,Brick Mansions,2014,Pass,5.7,41908,movie,90,"Action,Crime,Thriller"
5446,tt0227438,0,"Doctor and the Monkey, The",1900,Fail,5.2,334,short,1,"Comedy,Short"
5443,tt0000413,0,Mephistopheles' School of Magic,1902,Fail,5.5,430,short,3,"Comedy,Fantasy,Horror"
5442,tt2223990,2,Draft Day,2014,Fail,6.8,58821,movie,110,"Drama,Sport"
5441,tt0008844,0,Are Crooks Dishonest?,1918,Fail,6.2,329,short,13,"Comedy,Short"
5440,tt1744641,2,Ramayana: The Epic,2010,Fail,6,517,movie,98,"Adventure,Animation,Family"
5439,tt0069990,3,Don Juan (Or If Don Juan Were a Woman),1973,Pass,5,1013,movie,90,Drama
5438,tt0000313,0,Let Me Dream Again,1900,Fail,5.8,760,short,1,"Comedy,Short"
5437,tt0258104,0,Reve et realite,1901,Fail,5.1,477,short,1,"Comedy,Short"
5436,tt1766175,3,Trap for Cinderella,2013,Pass,5.6,1605,movie,100,"Crime,Drama,Mystery"
5435,tt0000554,0,Humorous Phases of Funny Faces,1906,Fail,6.2,1261,short,3,"Animation,Comedy,Family"
5434,tt0071807,1,"Man with the Golden Gun, The",1974,Fail,6.7,102991,movie,125,"Action,Adventure,Thriller"
5432,tt0367177,0,"Twentieth Century Tramp; or, Happy Hooligan and His Airship, The",1902,Fail,5.1,105,short,1,"Comedy,Fantasy,Short"
5431,tt0229024,0,Gulliver's Travels,1902,Fail,6.5,857,short,4,"Fantasy,Short"
5430,tt0406709,0,Dies irae,2003,Fail,8.3,558,short,14,"Comedy,Short"
5429,tt1872181,1,Amazing Spider-Man 2,2014,Fail,6.6,474846,movie,142,"Action,Adventure,Sci-Fi"
5428,tt2258345,2,Fading Gigolo,2013,Fail,6.2,24336,movie,90,"Comedy,Romance"
5427,tt0085407,1,"Dead Zone, The",1983,Fail,7.2,67894,movie,103,"Drama,Horror,Sci-Fi"
5426,tt0250687,3,Rat Race,2001,Pass,6.4,113974,movie,112,"Action,Adventure,Comedy"
5425,tt0105682,3,Un Coeur en Hiver,1992,Pass,7.6,9728,movie,105,"Drama,Music,Romance"
5424,tt0455596,1,"Librarian: Return to King Solomon's Mines, The",2006,Fail,6.3,14416,tvMovie,92,"Action,Adventure,Comedy"
5423,tt2203939,3,"Other Woman, The",2014,Pass,6,137683,movie,109,"Comedy,Romance"
5422,tt0318725,3,Stupeur et Tremblements,2003,Pass,7,4476,movie,107,"Comedy,Drama"
5421,tt2707858,2,Yves Saint Laurent,2014,Fail,6.3,12081,movie,106,"Biography,Drama"
5420,tt2108546,3,Jackie,2012,Pass,6.8,2226,movie,100,"Comedy,Drama"
5419,tt0338467,3,High Roller: The Stu Ungar Story,2003,Pass,6.1,2168,movie,120,"Biography,Drama"
5418,tt3152098,3,Mega Shark vs. Mecha Shark,2014,Pass,2.6,3195,movie,85,"Action,Adventure,Comedy"
5417,tt0252503,3,Heist,2001,Pass,6.5,35830,movie,109,"Action,Crime,Drama"
5416,tt2388715,3,Oculus,2014,Pass,6.5,125071,movie,104,"Horror,Mystery"
5415,tt0079540,3,Meatballs,1979,Pass,6.2,21266,movie,94,Comedy
5414,tt0049406,1,"Killing, The",1956,Fail,8,87696,movie,84,"Crime,Drama,Film-Noir"
5413,tt0117802,2,Swingers,1996,Fail,7.2,81176,movie,96,"Comedy,Drama"
5412,tt0426592,3,Superhero Movie,2008,Pass,4.6,67548,movie,75,"Action,Comedy,Sci-Fi"
5409,tt2355495,3,Barefoot,2014,Pass,6.6,24182,movie,90,"Comedy,Drama,Romance"
5408,tt2536428,3,La crème de la crème,2014,Pass,5.9,1364,movie,90,"Comedy,Drama"
5407,tt1844025,3,Sadako 3D,2012,Pass,3.7,1567,movie,96,Horror
5405,tt2209764,1,Transcendence,2014,Fail,6.2,225015,movie,119,"Action,Drama,Sci-Fi"
5404,tt0135179,0,"Living Playing Cards, The",1904,Fail,6.6,1462,short,3,"Comedy,Fantasy,Short"
5403,tt0048254,1,Killer's Kiss,1955,Fail,6.6,23302,movie,67,"Crime,Drama,Film-Noir"
5402,tt1326221,3,Fruit Fly,2009,Pass,5.7,193,movie,94,"Comedy,Musical"
5401,tt0412915,3,"Librarian: Quest for the Spear, The",2004,Pass,6.3,19811,tvMovie,92,"Action,Adventure,Comedy"
5400,tt2281159,3,Contracted,2013,Pass,5.3,15070,movie,84,"Drama,Horror,Thriller"
5398,tt1213648,1,London Boulevard,2010,Fail,6.2,47767,movie,103,"Crime,Drama"
5397,tt1441395,0,Under the Skin,2014,Fail,6.4,138888,movie,108,"Drama,Horror,Mystery"
5396,tt2382396,2,Joe,2014,Fail,6.9,47857,movie,117,"Crime,Drama"
5395,tt0466405,3,Gekijoban XXXHolic Manatsu no yoru no yume,2005,Pass,7.2,653,movie,60,"Animation,Comedy,Drama"
5394,tt0214529,3,"Belphegor, Phantom of the Louvre (Belphegor - Le fantome du Louvre)",2001,Pass,4.5,4891,movie,97,"Fantasy,Horror,Mystery"
5393,tt0070328,1,Live and Let Die,1973,Fail,6.8,104843,movie,121,"Action,Adventure,Thriller"
5392,tt0382761,3,Jennifer's Shadow,2004,Pass,4.6,564,movie,96,"Horror,Mystery,Thriller"
5391,tt0061107,3,Torn Curtain,1966,Pass,6.6,26654,movie,128,"Drama,Romance,Thriller"
5390,tt0066995,1,Diamonds Are Forever,1971,Fail,6.6,103755,movie,120,"Action,Adventure,Thriller"
5389,tt2545118,3,Blackfish,2013,Pass,8.1,65661,movie,83,Documentary
5388,tt1702014,3,Hoje Eu Quero Voltar Sozinho,2014,Pass,7.9,24722,movie,96,"Drama,Romance"
5387,tt1647668,1,Million Dollar Arm,2014,Fail,7,45492,movie,124,"Biography,Drama,Sport"
5386,tt0260332,3,Roozi ke zan shodam,2000,Pass,7.3,1752,movie,78,"Comedy,Drama"
5385,tt0063185,3,"Killing of Sister George, The",1968,Pass,7.1,2317,movie,138,Drama
5384,tt0062281,3,Smashing Time,1967,Pass,6,561,movie,96,"Comedy,Musical"
5383,tt0094663,3,Another Woman,1988,Pass,7.3,13802,movie,81,Drama
5382,tt0160862,3,She's All That,1999,Pass,5.9,93852,movie,95,"Comedy,Romance"
5381,tt0125022,3,Heartbreakers,2001,Pass,6.2,53843,movie,123,"Comedy,Crime,Romance"
5380,tt0053976,3,"Virgin Spring, The",1960,Pass,8.1,28622,movie,89,Drama
5379,tt0057611,3,"Silence, The",1963,Pass,7.9,19406,movie,96,Drama
