genre1,genre3,imdb_id,passed,type,title,bechdel_id,bechdel_rating,num_votes,runtime_minutes,imdb_rating,year,genre2
Action,,tt0074437,Fail,movie,Drum,9731,2,895,110,5.4,1976,Drama
Drama,Romance,tt0073349,Fail,movie,Mandingo,9730,2,3758,127,6.3,1975,History
Action,Thriller,tt0082817,Fail,movie,Nighthawks,9729,0,19329,99,6.4,1981,Crime
Drama,War,tt0083284,Fail,movie,Victory,9728,0,29768,116,6.7,1981,Sport
Action,Crime,tt0098439,Fail,movie,Tango & Cash,9727,0,103312,104,6.4,1989,Comedy
Drama,,tt0100507,Fail,movie,Rocky V,9726,0,134353,104,5.3,1990,Sport
Action,Drama,tt0116040,Fail,movie,Daylight,9725,1,71964,114,5.9,1996,Adventure
Action,Sport,tt0479143,Fail,movie,Rocky Balboa,9724,1,212662,102,7.1,2006,Drama
Comedy,,tt0082911,Fail,movie,Piratensender Power Play,9723,1,1087,90,5.1,1982,
Comedy,,tt0088459,Fail,movie,Zwei Nasen tanken Super,9722,1,948,95,4.5,1984,
Comedy,,tt0089077,Fail,movie,Die Einsteiger,9721,1,873,100,5.3,1985,
Comedy,,tt0086394,Fail,movie,Die Supernasen,9720,1,1114,88,4.6,1983,
Comedy,,tt0049293,Fail,movie,"Captain from Kopenick, The",9719,1,1680,93,7.2,1956,Drama
Comedy,,tt0036818,Fail,movie,Die Feuerzangenbowle,9718,1,6090,97,7.8,1944,
Drama,,tt10457128,Fail,movie,Summer of 85,9717,1,8049,101,6.9,2020,Romance
Comedy,History,tt9148706,Pass,movie,Misbehaviour,9716,3,7874,106,6.3,2020,Drama
Comedy,,tt3797512,Pass,movie,Barb and Star Go to Vista Del Mar,9713,3,15829,107,6.3,2021,
Action,Family,tt8856470,Pass,movie,Pokemon: Mewtwo Strikes Back - Evolution,9711,3,5278,98,5.7,2019,Animation
Comedy,,tt0092546,Fail,movie,Amazon Women on the Moon,9710,2,11827,85,6.2,1987,Sci-Fi
Horror,,tt0062082,Fail,movie,"Django Kill... If You Live, Shoot!",9709,0,2596,100,6.4,1967,Western
Action,Western,tt0064240,Fail,movie,Django the Bastard,9708,0,1112,107,6.1,1969,Horror
Action,,tt0062151,Fail,movie,"Django, Prepare a Coffin",9707,0,2675,92,6.4,1968,Western
Comedy,,tt0248408,Fail,movie,Der Schuh des Manitu,9706,0,18554,87,6.7,2001,Western
Drama,,tt0086510,Fail,movie,Under Fire,9705,1,7636,128,7,1983,War
Action,,tt0046404,Fail,movie,Tarzan and the She-Devil,9704,1,530,75,5.5,1953,Adventure
Adventure,,tt0043695,Fail,movie,Tarzan's Peril,9703,1,573,78,5.9,1951,
Action,Fantasy,tt0041947,Fail,movie,Tarzan's Magic Fountain,9702,0,599,73,6,1949,Adventure
Action,,tt0045220,Fail,movie,Tarzan's Savage Fury,9701,0,479,81,5.9,1952,Adventure
Action,,tt0043025,Fail,movie,Tarzan and the Slave Girl,9700,0,568,74,5.9,1950,Adventure
Adventure,,tt0059682,Fail,movie,Treasure of the Aztecs,9699,1,546,101,5.3,1965,Western
Adventure,,tt0059621,Fail,movie,Pyramid of the Sun God,9698,1,484,102,5.2,1965,Western
Adventure,,tt0058553,Fail,movie,"Yellow One, The",9697,1,748,118,5.9,1964,
Adventure,,tt0059538,Fail,movie,Old Surehand,9696,1,1458,90,5.9,1965,Western
Adventure,,tt0058709,Fail,movie,Amongst Vultures,9695,0,1585,98,6,1964,Western
Adventure,,tt0061198,Fail,movie,Winnetou und sein Freund Old Firehand,9694,1,1159,98,5.3,1966,Western
Adventure,,tt0063818,Fail,movie,"Valley of Death, The",9693,0,1396,89,6.2,1968,Western
Adventure,,tt0058751,Fail,movie,Winnetou: The Red Gentleman,9692,1,3160,94,6.6,1964,Western
Action,Western,tt0059915,Fail,movie,Winnetou: The Last Shot,9691,0,2539,93,6.7,1965,Adventure
Adventure,,tt0056452,Fail,movie,"Treasure of the Silver Lake, The",9690,1,3158,111,6.9,1962,Western
Adventure,,tt0057380,Fail,movie,Old Shatterhand,9689,1,1551,122,6.2,1964,Western
Adventure,,tt0061197,Fail,movie,Winnetou and the Crossbreed,9688,1,1494,90,5.7,1966,Western
Adventure,,tt0059958,Fail,movie,"Oil Prince, The",9687,1,1363,89,5.9,1965,Western
Adventure,,tt0057687,Fail,movie,Winnetou,9686,1,4043,101,6.9,1963,Western
Comedy,Fantasy,tt0421051,Fail,movie,Daniel the Wizard,9685,1,14294,81,1.7,2004,Crime
Comedy,,tt1073498,Fail,movie,Meet the Spartans,9684,1,107090,87,2.8,2008,Fantasy
Adventure,Family,tt0053285,Pass,movie,Sleeping Beauty,9683,3,289736,150,7.3,1959,Animation
Action,Fantasy,tt0293429,Fail,movie,Mortal Kombat,9682,2,162123,110,6.1,2021,Adventure
Mystery,Thriller,tt0066769,Pass,movie,"Andromeda Strain, The",9680,3,36310,131,7.2,1971,Sci-Fi
Comedy,Drama,tt10011336,Pass,movie,Lucky Grandma,9677,3,1526,87,6.4,2019,Crime
Comedy,,tt0095088,Pass,movie,Elvira: Mistress of the Dark,9676,3,17570,96,6.6,1988,Horror
Adventure,Thriller,tt9203694,Pass,movie,Stowaway,9670,3,43649,116,5.6,2021,Sci-Fi
Documentary,,tt13079086,Fail,movie,From Stress to Happiness,9669,1,176,60,6.4,2020,
Drama,,tt14091818,Pass,movie,Ajeeb Daastaans,9667,3,5511,142,6.7,2021,Romance
Drama,,tt0224412,Pass,tvSpecial,Hiroshima Maiden,9666,3,64,53,7.7,1988,Family
Action,,tt3153524,Fail,movie,Awesome Asian Bad Guys,9665,1,92,52,6.8,2014,Comedy
Action,Comedy,tt2222042,Fail,movie,Love and Monsters,9661,2,117557,109,7,2020,Adventure
Drama,,tt9522080,Pass,movie,Papicha,9660,3,2674,108,7,2019,
Comedy,Sci-Fi,tt2338151,Fail,movie,PK,9659,2,176497,153,8.1,2014,Drama
Comedy,,tt10441958,Pass,movie,How to Be a Good Wife,9658,3,1688,109,5.8,2020,Drama
Adventure,Drama,tt0143808,Pass,video,Pocahontas 2: Journey to a New World,9657,3,15289,72,4.9,1998,Animation
Horror,,tt0091080,Pass,movie,Friday the 13th Part VI: Jason Lives,9653,3,43562,86,6,1986,Thriller
Drama,,tt10483044,Pass,movie,Cousins,9647,3,414,98,7,2021,
Comedy,,tt1650555,Fail,movie,Lobos de Arga,9645,0,2338,98,6,2011,Horror
Adventure,Drama,tt0131335,Fail,movie,Canoa: A Shameful Memory,9644,0,1472,115,7.9,1976,Crime
Sci-Fi,,tt0408060,Pass,movie,1,9643,3,508,91,6,2009,Thriller
Comedy,,tt9741310,Pass,movie,Slaxx,9640,3,2743,77,5.4,2020,Horror
Comedy,,tt0078913,Fail,movie,Buffet froid,9638,0,5536,89,7.4,1979,Crime
Action,Drama,tt6259380,Fail,movie,Code 8,9637,1,38670,98,6.1,2019,Crime
Action,Comedy,tt10121392,Pass,movie,Thunder Force,9635,3,39958,106,4.4,2021,Adventure
Comedy,,tt0083824,Fail,movie,Deux heures moins le quart avant Jesus-Christ,9634,2,1604,100,5.9,1982,
Action,Drama,tt7888964,Fail,movie,Nobody,9633,1,207481,92,7.4,2021,Crime
Crime,Thriller,tt5397194,Fail,movie,Anon,9630,0,42664,100,6.1,2018,Sci-Fi
Comedy,,tt0889665,Fail,movie,Steak,9627,0,2454,82,6,2007,
Action,History,tt1233301,Fail,movie,Ironclad,9625,1,41761,121,6.1,2011,Drama
Action,Animation,tt2386490,Pass,movie,How to Train Your Dragon: The Hidden World,9624,3,120540,104,7.5,2019,Adventure
Documentary,,tt0076578,Fail,movie,Pumping Iron,9623,0,22512,86,7.4,1977,Sport
Comedy,Drama,tt11644096,Fail,short,What Did Jack Do?,9622,0,12197,17,6.5,2017,Crime
Action,Sci-Fi,tt0268695,Fail,movie,"Time Machine, The",9620,1,123227,96,6,2002,Adventure
Action,Horror,tt2193418,Fail,movie,Hammer of the Gods,9613,1,8040,99,4.5,2013,History
Biography,Thriller,tt4761112,Pass,movie,"Mauritanian, The",9612,3,46712,129,7.5,2021,Drama
Action,Drama,tt3622332,Fail,movie,Sword of Vengeance,9611,0,2390,87,4.4,2015,Adventure
Action,History,tt0338806,Pass,tvMovie,Warrior Queen,9610,3,1242,99,5.3,2003,Drama
Comedy,Thriller,tt0094142,Fail,movie,Throw Momma from the Train,9609,1,36297,88,6.3,1987,Crime
Drama,,tt10213380,Pass,movie,Malmkrog,9608,3,1120,201,6.3,2020,History
Biography,,tt0055047,Pass,movie,King of Kings,9607,3,7785,168,7,1961,Drama
Drama,Thriller,tt8368512,Pass,movie,"Courier, The",9606,3,49636,112,7.2,2020,History
Action,Sci-Fi,tt0338337,Fail,movie,Paycheck,9605,2,107356,119,6.3,2003,Mystery
Action,Horror,tt8114980,Pass,movie,Willy's Wonderland,9604,3,25182,88,5.5,2021,Comedy
Adventure,Family,tt0271271,Pass,tvMovie,Zenon: The Zequel,9600,3,3837,100,5.9,2001,Comedy
Biography,Music,tt8521718,Pass,movie,"United States vs. Billie Holiday, The",9599,3,12215,126,6.3,2021,Drama
Drama,,tt0039416,Fail,movie,Gentleman's Agreement,9598,1,16037,118,7.2,1947,Romance
Drama,,tt0041113,Fail,movie,All the King's Men,9597,1,14655,110,7.5,1949,Film-Noir
Drama,Romance,tt0044672,Fail,movie,"Greatest Show on Earth, The",9596,2,14223,152,6.6,1952,Family
Drama,Musical,tt0063385,Fail,movie,Oliver!,9595,2,37553,153,7.4,1968,Family
Biography,War,tt0066206,Fail,movie,Patton,9594,1,100267,172,7.9,1970,Drama
Biography,,tt0083987,Fail,movie,Gandhi,9593,2,225850,191,8,1982,Drama
Action,Comedy,tt2283336,Pass,movie,Men in Black: International,9592,3,128101,114,5.6,2019,Adventure
Drama,,tt0067277,Fail,movie,Johnny Got His Gun,9591,1,16603,111,7.9,1971,War
Crime,,tt0089010,Fail,tvMovie,"Defiant Ones, The",9590,0,371,100,6.1,1986,Drama
Adventure,Family,tt1078912,Fail,movie,Night at the Museum: Battle of the Smithsonian,9589,1,190372,105,6,2009,Comedy
Adventure,Drama,tt0114287,Fail,movie,Rob Roy,9588,0,42422,139,6.9,1995,Biography
Comedy,,tt0259060,Pass,movie,La tour Montparnasse infernale,9587,3,4830,92,5.8,2001,
Comedy,,tt0338828,Fail,movie,Mais qui a tué Pamela Rose?,9586,1,2616,95,6,2003,
Comedy,,tt0087681,Fail,movie,Marche à l'ombre,9584,1,1423,90,6.6,1984,Drama
Biography,,tt4950110,Pass,movie,I'm Not Ashamed,9581,3,3611,112,6,2016,Drama
Adventure,,tt0074853,Fail,tvMovie,"Man in the Iron Mask, The",9580,2,2950,100,6.7,1977,History
War,,tt0066301,Fail,movie,Rio Lobo,9578,1,12090,114,6.8,1970,Western
Drama,Western,tt0061619,Fail,movie,El Dorado,9577,1,26470,126,7.6,1966,Romance
Action,Thriller,tt0314353,Pass,movie,Tears of the Sun,9576,3,120092,121,6.6,2003,Drama
